scenario_id,well_id,pad_id,current_lift_mode,before_liquid_rate_m3d,before_gas_rate_e3m3d,before_watercut_pct,before_tubing_pressure_kpa,before_casing_pressure_kpa,before_line_pressure_kpa,before_production_volatility,before_arrival_reliability_pct,before_missed_arrivals_7d,current_gas_injection_e3m3d,current_afterflow_min,current_close_time_min,days_since_last_change,data_quality_score,downtime_flag,facility_constraint_flag,high_watercut_regime,liquid_loading_risk_score,event_quality_label,candidate_delta_gas_e3m3d,candidate_delta_afterflow_min,candidate_delta_close_time_min,candidate_note
SCEN_001,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,-8,0,0,synthetic candidate action; no target provided
SCEN_002,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,-4,0,0,synthetic candidate action; no target provided
SCEN_003,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,0,0,0,synthetic candidate action; no target provided
SCEN_004,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,0,0,-10,synthetic candidate action; no target provided
SCEN_005,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,0,8,0,synthetic candidate action; no target provided
SCEN_006,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,0,8,-10,synthetic candidate action; no target provided
SCEN_007,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,4,0,0,synthetic candidate action; no target provided
SCEN_008,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,4,0,-10,synthetic candidate action; no target provided
SCEN_009,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,4,8,0,synthetic candidate action; no target provided
SCEN_010,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,4,8,-10,synthetic candidate action; no target provided
SCEN_011,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,8,0,0,synthetic candidate action; no target provided
SCEN_012,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,8,0,-10,synthetic candidate action; no target provided
SCEN_013,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,8,8,0,synthetic candidate action; no target provided
SCEN_014,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,8,8,-10,synthetic candidate action; no target provided
SCEN_015,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,14,0,0,synthetic candidate action; no target provided
SCEN_016,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,14,0,-10,synthetic candidate action; no target provided
SCEN_017,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,14,8,0,synthetic candidate action; no target provided
SCEN_018,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845,4443,1275,1.206,82.1,0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,14,8,-10,synthetic candidate action; no target provided
SCEN_019,WELL_12,PAD_4,gas_lift,16.68,64.27,43.8,2675,4463,1442,0.904,95.2,0,23.9,35.2,59.2,3,0.997,0,0,0,0.505,clean,-8,0,0,synthetic candidate action; no target provided
SCEN_020,WELL_12,PAD_4,gas_lift,16.68,64.27,43.8,2675,4463,1442,0.904,95.2,0,23.9,35.2,59.2,3,0.997,0,0,0,0.505,clean,-4,0,0,synthetic candidate action; no target provided
SCEN_021,WELL_12,PAD_4,gas_lift,16.68,64.27,43.8,2675,4463,1442,0.904,95.2,0,23.9,35.2,59.2,3,0.997,0,0,0,0.505,clean,0,0,0,synthetic candidate action; no target provided
SCEN_022,WELL_12,PAD_4,gas_lift,16.68,64.27,43.8,2675,4463,1442,0.904,95.2,0,23.9,35.2,59.2,3,0.997,0,0,0,0.505,clean,4,0,0,synthetic candidate action; no target provided
SCEN_023,WELL_12,PAD_4,gas_lift,16.68,64.27,43.8,2675,4463,1442,0.904,95.2,0,23.9,35.2,59.2,3,0.997,0,0,0,0.505,clean,8,0,0,synthetic candidate action; no target provided
SCEN_024,WELL_12,PAD_4,gas_lift,16.68,64.27,43.8,2675,4463,1442,0.904,95.2,0,23.9,35.2,59.2,3,0.997,0,0,0,0.505,clean,14,0,0,synthetic candidate action; no target provided
SCEN_025,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,-8,0,0,synthetic candidate action; no target provided
SCEN_026,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,-4,0,0,synthetic candidate action; no target provided
SCEN_027,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,0,0,0,synthetic candidate action; no target provided
SCEN_028,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,0,0,-10,synthetic candidate action; no target provided
SCEN_029,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,0,8,0,synthetic candidate action; no target provided
SCEN_030,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,0,8,-10,synthetic candidate action; no target provided
SCEN_031,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,4,0,0,synthetic candidate action; no target provided
SCEN_032,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,4,0,-10,synthetic candidate action; no target provided
SCEN_033,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,4,8,0,synthetic candidate action; no target provided
SCEN_034,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,4,8,-10,synthetic candidate action; no target provided
SCEN_035,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,8,0,0,synthetic candidate action; no target provided
SCEN_036,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,8,0,-10,synthetic candidate action; no target provided
SCEN_037,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,8,8,0,synthetic candidate action; no target provided
SCEN_038,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,8,8,-10,synthetic candidate action; no target provided
SCEN_039,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,14,0,0,synthetic candidate action; no target provided
SCEN_040,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,14,0,-10,synthetic candidate action; no target provided
SCEN_041,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,14,8,0,synthetic candidate action; no target provided
SCEN_042,WELL_05,PAD_2,gas_assisted_plunger,24.27,28.47,42.2,2249,4868,846,0.798,70.9,3,13.84,32.1,38.1,7,0.891,0,0,0,0.688,clean,14,8,-10,synthetic candidate action; no target provided
SCEN_043,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758,3278,977,1.369,68.7,3,0,54.3,109,25,1,0,0,0,0.966,low_quality,-8,0,0,synthetic candidate action; no target provided
SCEN_044,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758,3278,977,1.369,68.7,3,0,54.3,109,25,1,0,0,0,0.966,low_quality,-4,0,0,synthetic candidate action; no target provided
SCEN_045,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758,3278,977,1.369,68.7,3,0,54.3,109,25,1,0,0,0,0.966,low_quality,0,0,0,synthetic candidate action; no target provided
SCEN_046,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758,3278,977,1.369,68.7,3,0,54.3,109,25,1,0,0,0,0.966,low_quality,0,0,-10,synthetic candidate action; no target provided
SCEN_047,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758,3278,977,1.369,68.7,3,0,54.3,109,25,1,0,0,0,0.966,low_quality,0,8,0,synthetic candidate action; no target provided
SCEN_048,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758,3278,977,1.369,68.7,3,0,54.3,109,25,1,0,0,0,0.966,low_quality,0,8,-10,synthetic candidate action; no target provided
SCEN_049,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758,3278,977,1.369,68.7,3,0,54.3,109,25,1,0,0,0,0.966,low_quality,4,0,0,synthetic candidate action; no target provided
SCEN_050,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758,3278,977,1.369,68.7,3,0,54.3,109,25,1,0,0,0,0.966,low_quality,4,0,-10,synthetic candidate action; no target provided
SCEN_051,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758,3278,977,1.369,68.7,3,0,54.3,109,25,1,0,0,0,0.966,low_quality,4,8,0,synthetic candidate action; no target provided
SCEN_052,WELL_05,PAD_2,gas_assisted_plunger,27.08,33.27,56.8,1758,3278,977,1.369,68.7,3,0,54.3,109,25,1,0,0,0,0.966,low_quality,4,8,-10,synthetic candidate action; no target provided
