scenario_id,well_id,pad_id,current_lift_mode,before_liquid_rate_m3d,before_gas_rate_e3m3d,before_watercut_pct,before_tubing_pressure_kpa,before_casing_pressure_kpa,before_line_pressure_kpa,before_production_volatility,before_arrival_reliability_pct,before_missed_arrivals_7d,current_gas_injection_e3m3d,current_afterflow_min,current_close_time_min,days_since_last_change,data_quality_score,downtime_flag,facility_constraint_flag,high_watercut_regime,liquid_loading_risk_score,event_quality_label,candidate_delta_gas_e3m3d,candidate_delta_afterflow_min,candidate_delta_close_time_min,candidate_note,pred_delta_liquid_m3d,lcb80,ucb80,interval_width,support_dist,in_support,large_gas_change,recommendation,reason
SCEN_001,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,-8.0,0.0,0.0,synthetic candidate action; no target provided,-3.464,-7.395,0.468,7.863,2.463,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_002,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,-4.0,0.0,0.0,synthetic candidate action; no target provided,-1.911,-5.572,1.75,7.323,2.316,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_003,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,0.0,0.0,0.0,synthetic candidate action; no target provided,-0.358,-4.188,3.471,7.659,2.242,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_004,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,0.0,0.0,-10.0,synthetic candidate action; no target provided,-0.358,-4.188,3.471,7.659,2.184,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_005,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,0.0,8.0,0.0,synthetic candidate action; no target provided,-0.358,-4.188,3.471,7.659,2.21,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_006,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,0.0,8.0,-10.0,synthetic candidate action; no target provided,-0.358,-4.188,3.471,7.659,2.197,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_007,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,4.0,0.0,0.0,synthetic candidate action; no target provided,1.194,-2.507,4.896,7.403,2.184,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_008,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,4.0,0.0,-10.0,synthetic candidate action; no target provided,1.194,-2.507,4.896,7.403,2.107,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_009,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,4.0,8.0,0.0,synthetic candidate action; no target provided,1.194,-2.507,4.896,7.403,2.069,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_010,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,4.0,8.0,-10.0,synthetic candidate action; no target provided,1.194,-2.507,4.896,7.403,2.022,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_011,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,8.0,0.0,0.0,synthetic candidate action; no target provided,2.747,-1.649,7.142,8.791,2.174,True,False,hold,hold: gain not confident (80% interval crosses 0)
SCEN_012,WELL_09,PAD_3,gas_assisted_plunger,29.06,41.82,64.7,2845.0,4443.0,1275.0,1.206,82.1,0.0,38.7,44.1,112.1,1,0.985,0,0,0,0.742,clean,8.0,0.0,-10.0,synthetic candidate action; no target provided,2.747,-1.649,7.142,8.791,2.137,True,False,hold,hold: gain not confident (80% interval crosses 0)
