event_id,well_id,pad_id,event_time,current_lift_mode,before_liquid_rate_m3d,before_gas_rate_e3m3d,before_watercut_pct,before_tubing_pressure_kpa,before_casing_pressure_kpa,before_line_pressure_kpa,before_production_volatility,before_arrival_reliability_pct,before_missed_arrivals_7d,current_gas_injection_e3m3d,current_afterflow_min,current_close_time_min,action_delta_gas_e3m3d,action_delta_afterflow_min,action_delta_close_time_min,days_since_last_change,data_quality_score,downtime_flag,facility_constraint_flag,high_watercut_regime,liquid_loading_risk_score,event_quality_label,target_delta_liquid_48h_m3d
EVT_0001,WELL_09,PAD_3,2023-12-23,gas_lift,16.15,40.22,88.2,2102,4559,968,1.998,82.2,0,23.21,16.5,38.6,-4.17,1.4,-0.3,1,0.908,0,0,1,1,clean,6.76
EVT_0006,WELL_04,PAD_2,2024-01-04,gas_lift,2.45,70.97,27.3,2461,3833,1288,3.126,84.4,1,13.65,13.2,59.6,-3.74,-0.8,-1.1,69,0.482,1,1,0,1,low_quality,2.48
EVT_0002,WELL_08,PAD_3,2024-01-09,gas_assisted_plunger,9.22,53.5,45.1,2139,3989,1280,2.783,67.1,3,13.25,31,128.7,-5.44,-7.1,-4.3,19,0.874,0,0,0,1,clean,-4.45
EVT_0004,WELL_01,PAD_1,2024-01-13,gas_lift,35.81,56.57,55.4,2176,4478,1266,2.2,85.8,0,34.95,32.1,56.8,-4.86,0.5,0.2,37,0.789,0,0,0,1,clean,-4.7
EVT_0003,WELL_03,PAD_1,2024-01-14,plunger_assisted_gas_lift,25.43,71.28,38.1,1573,4014,1212,1.198,76,1,30.41,37.4,111.7,5.27,5.1,35,18,0.879,0,0,0,0.677,low_quality,-9.02
EVT_0005,WELL_12,PAD_4,2024-01-14,gas_assisted_plunger,25.5,64.5,66.9,2623,4640,951,0.975,76.9,2,53.73,43,79.6,0.44,-7.1,-4,13,0.822,0,0,0,0.802,clean,1.28
EVT_0007,WELL_03,PAD_1,2024-01-20,plunger_assisted_gas_lift,22.96,60.73,30.4,2470,4522,801,2.131,85.8,4,33.11,18.6,77.8,1.14,-4.7,10.2,2,0.909,0,0,0,1,clean,-2.52
EVT_0011,WELL_12,PAD_4,2024-01-22,gas_assisted_plunger,15.38,62.94,60.1,2064,4651,1186,2.613,60.9,6,51.23,46.1,137.8,0.92,6.5,-7.7,4,0.758,1,0,0,1,contaminated,-7
EVT_0008,WELL_04,PAD_2,2024-01-23,plunger_assisted_gas_lift,9.71,63.54,49.6,2550,3964,1156,2.026,73.1,1,26.96,38.3,98.1,-1.82,15.3,12.8,10,0.973,0,0,0,1,clean,-1.34
EVT_0009,WELL_05,PAD_2,2024-01-24,plunger_dominant,34.42,35.01,56.2,1639,3786,971,2.066,64.6,5,16.49,44.2,110.7,-0.9,14.9,-12.2,7,0.947,0,0,0,1,clean,-1
EVT_0010,WELL_03,PAD_1,2024-01-28,plunger_assisted_gas_lift,20.14,54.64,39.3,2398,4218,1136,0.856,98.5,0,27.57,46.9,143.8,-4.22,-0.9,11.7,17,0.71,0,0,0,0.459,clean,-4.69
EVT_0012,WELL_02,PAD_1,2024-01-30,gas_lift,47.44,58.3,46,1991,4935,1257,2.1,80.6,2,47.58,40,56.5,5.4,1,-0.1,5,0.944,0,0,0,1,clean,-0.79
EVT_0013,WELL_07,PAD_3,2024-01-31,gas_assisted_plunger,31.57,22.85,59.4,2115,4217,1076,1.471,79.1,1,10.25,35.7,91.3,-2.69,6.3,-3.4,2,0.877,0,0,0,0.874,clean,-3
EVT_0015,WELL_12,PAD_4,2024-02-03,gas_assisted_plunger,13.92,75.53,72.7,2133,4422,1114,1.328,69.5,1,25.09,12,107.1,-3.35,-7.3,-6.9,3,0.94,0,0,1,0.909,clean,-2.98
EVT_0021,WELL_02,PAD_1,2024-02-03,gas_lift,47.1,47.16,38.3,2305,3969,1184,1.805,83.5,0,43.31,29.9,39.5,3.97,-3.4,-2.1,19,0.919,0,0,0,0.816,clean,3.2
EVT_0014,WELL_08,PAD_3,2024-02-04,gas_assisted_plunger,5.89,53.04,47.6,2547,4433,1666,2.178,80.1,1,20.83,12.5,85.3,2.24,-12.5,2.5,7,0.856,0,0,0,1,clean,0.98
EVT_0016,WELL_03,PAD_1,2024-02-13,plunger_assisted_gas_lift,16.26,61.67,40,2363,3741,1232,0.608,90.8,1,32.54,49.5,64.7,-0.39,-8.2,-2.6,34,0.893,0,0,0,0.451,low_quality,-0.53
EVT_0017,WELL_12,PAD_4,2024-02-15,gas_assisted_plunger,19.77,59.36,56.5,2532,5283,1354,1.215,75.6,2,66.77,15.2,98.2,-1.21,7.1,1.1,17,0.762,0,0,0,0.836,clean,0.17
EVT_0019,WELL_02,PAD_1,2024-02-18,gas_lift,41.7,70,41.1,2587,3714,1519,2.327,87.4,1,42.52,26,105.8,2.88,-0.5,-1.7,29,0.768,1,0,0,1,clean,-1.78
EVT_0018,WELL_07,PAD_3,2024-02-19,gas_lift,28.26,40.51,44.7,2482,4232,892,0.918,83.5,,40.9,0,47.3,0.15,-0.4,2.9,31,1,0,0,0,0.598,clean,-1.13
EVT_0028,WELL_02,PAD_1,2024-02-24,gas_lift,36.27,54.03,35.9,2060,4153,1292,1.053,92.2,1,45.92,34.1,55.7,3,6.1,1.6,13,0.931,0,0,0,0.584,clean,-0.52
EVT_0023,WELL_01,PAD_1,2024-02-29,gas_lift,31.12,48.59,52.5,1607,3922,1194,3.253,85.9,0,20.98,41.2,86.4,-10.12,-3.8,-2.5,3,0.832,0,0,0,1,clean,-13.74
EVT_0020,WELL_12,PAD_4,2024-03-02,gas_lift,11.03,67.74,46.4,2339,4269,1251,1.315,95.2,0,52.74,26.8,43.4,-5.01,-4.1,-7.6,28,0.765,0,0,0,0.662,clean,-4.26
EVT_0022,WELL_05,PAD_2,2024-03-03,gas_assisted_plunger,21.89,21.26,64.9,2731,4214,1080,1.691,80,1,25.06,35.9,78.1,5.59,7.6,-4.3,4,0.893,0,0,0,0.976,low_quality,-1.14
EVT_0024,WELL_07,PAD_3,2024-03-04,gas_assisted_plunger,23.43,11.55,52.5,2327,3761,988,1.135,94.1,0,6.41,61.9,72.4,-4.38,-0.6,-3.7,29,0.827,0,0,0,0.632,clean,-1.7
EVT_0025,WELL_06,PAD_2,2024-03-08,plunger_dominant,42.71,79.2,73.9,2134,4129,865,1.486,67.1,1,38.87,49.4,106.4,4.35,10.9,-32.5,18,0.812,0,0,1,0.975,low_quality,-0.88
EVT_0026,WELL_07,PAD_3,2024-03-08,gas_lift,12.09,43.02,56.6,2574,4091,1081,2.388,83.7,1,5,20.5,84.1,-4.8,2.4,-1.2,6,0.816,0,0,0,1,clean,-9.3
EVT_0035,WELL_02,PAD_1,2024-03-09,gas_lift,33.81,74.16,46.7,2346,4124,905,2.615,87.3,0,36.29,22,43.2,-10.74,-0.5,-4.6,15,0.726,0,0,0,1,clean,-1.52
EVT_0029,WELL_05,PAD_2,2024-03-09,gas_assisted_plunger,23.17,14.34,44.3,2505,4190,917,1.284,77.4,2,21.76,42.6,127.4,1.17,2,18.9,59,0.894,0,0,0,0.796,clean,3.17
EVT_0030,WELL_10,PAD_4,2024-03-11,gas_assisted_plunger,26.59,38.14,66.8,2201,5250,1022,1.319,88.8,0,42.61,50.1,88.8,0.49,9.3,10,26,0.84,0,0,0,0.778,clean,0.17
EVT_0027,WELL_05,PAD_2,2024-03-13,gas_assisted_plunger,30.62,21.78,50.7,2475,3307,1017,1.683,55.8,2,23.92,42.9,74.1,6.54,-3,-14.1,25,0.836,0,0,0,1,clean,4.93
EVT_0034,WELL_08,PAD_3,2024-03-26,gas_assisted_plunger,7.48,19.07,33.4,2325,5306,,1.128,68.9,,36.38,35.1,124.4,4.27,4,3.1,3,0.906,0,0,0,0.764,clean,2.13
EVT_0038,WELL_01,PAD_1,2024-03-28,plunger_assisted_gas_lift,31.48,37.43,53.7,2360,3531,924,2.222,76.2,3,20.92,25.3,48.9,12.81,5.8,8.2,22,0.806,0,1,0,1,contaminated,1.32
EVT_0032,WELL_08,PAD_3,2024-03-28,gas_assisted_plunger,9.07,56.07,43.3,2839,4815,1066,1.298,73.4,2,32.72,28.2,115.6,0.5,-11.1,-13.3,68,0.908,0,0,0,0.804,clean,-0.65
EVT_0031,WELL_10,PAD_4,2024-03-29,gas_lift,19.93,62.51,46.8,2692,4559,1253,1.603,85.8,0,42.78,28.2,58.9,3.9,-3.1,-0.2,2,0.877,0,0,0,0.784,clean,0.47
EVT_0033,WELL_09,PAD_3,2024-03-29,gas_assisted_plunger,23.92,68.53,53.4,3417,4609,1050,2.919,62.8,1,52.17,29.6,76.8,-0.13,17.1,-11.2,100,0.89,0,0,0,1,clean,2.43
EVT_0039,WELL_04,PAD_2,2024-04-02,plunger_assisted_gas_lift,7.98,51.75,48,2147,3635,1276,0.887,75.9,1,43.25,64.2,95.6,-8.76,3.5,-0.2,29,0.804,0,1,0,0.619,low_quality,-1.59
